-0.35;0.348;0.679412
-0.35;0.398;0.656592
-0.35;0.448;0.642158
-0.35;0.498;0.634826
-0.3;0.348;0.624687
-0.3;0.398;0.602017
-0.3;0.448;0.585637
-0.3;0.498;0.573919
-0.25;0.348;0.575733
-0.25;0.398;0.548488
-0.25;0.448;0.527214
-0.25;0.498;0.513544
-0.2;0.348;0.526845
-0.2;0.398;0.493915
-0.2;0.448;0.469293
-0.2;0.498;0.452931
-0.15;0.348;0.486327
-0.15;0.398;0.440837
-0.15;0.448;0.420642
-0.15;0.498;0.397346
-0.1;0.348;0.441647
-0.1;0.398;0.391636
-0.1;0.448;0.368193
-0.1;0.498;0.340592
-0.05;0.348;0.405357
-0.05;0.398;0.356613
-0.05;0.448;0.313536
-0.05;0.498;0.281224
-1.38778e-17;0.348;0.370546
-1.38778e-17;0.398;0.3148
-1.38778e-17;0.448;0.267688
-1.38778e-17;0.498;0.230167
0.05;0.348;0.327898
0.05;0.398;0.28236
0.05;0.448;0.229852
0.05;0.498;0.184623
0.1;0.348;0.303362
0.1;0.398;0.260829
0.1;0.448;0.202039
0.1;0.498;0.150485
0.15;0.348;0.29579
0.15;0.398;0.255253
0.15;0.448;0.193868
0.15;0.498;0.135992
0.2;0.348;0.301301
0.2;0.398;0.247232
0.2;0.448;0.196042
0.2;0.498;0.1553
0.25;0.348;0.319184
0.25;0.398;0.273671
0.25;0.448;0.227506
0.25;0.498;0.197958
0.3;0.348;0.346243
0.3;0.398;0.311996
0.3;0.448;0.270575
0.3;0.498;0.246227
0.35;0.348;0.382503
0.35;0.398;0.34927
0.35;0.448;0.32052
0.35;0.498;0.304668
