-0.3,-0.325,4,0
-0.3,-0.3,4,0
-0.3,-0.275,4,0
-0.3,-0.25,5,0
-0.3,-0.225,5,0
-0.3,-0.2,4,0
-0.3,-0.175,5,0
-0.3,-0.15,4,0
-0.3,-0.125,4,0
-0.3,-0.1,6,0
-0.3,-0.075,4,0
-0.3,-0.05,4,0
-0.3,-0.025,4,0
-0.3,-6.93889e-18,4,0
-0.3,0.025,4,0
-0.3,0.05,6,1
-0.3,0.075,6,0
-0.3,0.1,7,0
-0.3,0.125,0,0
-0.3,0.15,0,0
-0.3,0.175,0,0
-0.275,-0.325,4,0
-0.275,-0.3,5,0
-0.275,-0.275,4,0
-0.275,-0.25,4,0
-0.275,-0.225,4,0
-0.275,-0.2,4,0
-0.275,-0.175,5,0
-0.275,-0.15,4,0
-0.275,-0.125,4,0
-0.275,-0.1,5,0
-0.275,-0.075,6,0
-0.275,-0.05,4,0
-0.275,-0.025,4,0
-0.275,-6.93889e-18,4,0
-0.275,0.025,6,0
-0.275,0.05,5,0
-0.275,0.075,8,0
-0.275,0.1,5,0
-0.275,0.125,0,0
-0.275,0.15,0,0
-0.275,0.175,0,0
-0.25,-0.325,5,0
-0.25,-0.3,4,0
-0.25,-0.275,4,0
-0.25,-0.25,4,0
-0.25,-0.225,6,0
-0.25,-0.2,7,0
-0.25,-0.175,4,0
-0.25,-0.15,4,0
-0.25,-0.125,5,0
-0.25,-0.1,4,0
-0.25,-0.075,8,0
-0.25,-0.05,6,1
-0.25,-0.025,4,0
-0.25,-6.93889e-18,8,2
-0.25,0.025,5,0
-0.25,0.05,8,2
-0.25,0.075,6,0
-0.25,0.1,6,0
-0.25,0.125,0,0
-0.25,0.15,0,0
-0.25,0.175,0,0
-0.225,-0.325,4,0
-0.225,-0.3,4,0
-0.225,-0.275,4,0
-0.225,-0.25,4,0
-0.225,-0.225,4,0
-0.225,-0.2,4,0
-0.225,-0.175,5,0
-0.225,-0.15,4,0
-0.225,-0.125,4,0
-0.225,-0.1,8,0
-0.225,-0.075,5,0
-0.225,-0.05,5,0
-0.225,-0.025,5,0
-0.225,-6.93889e-18,4,0
-0.225,0.025,7,0
-0.225,0.05,4,0
-0.225,0.075,7,0
-0.225,0.1,8,0
-0.225,0.125,0,0
-0.225,0.15,0,0
-0.225,0.175,0,0
-0.2,-0.325,4,0
-0.2,-0.3,4,0
-0.2,-0.275,4,0
-0.2,-0.25,4,0
-0.2,-0.225,4,0
