1.571;-1.61;-1.492;-1.571;1.492;-0.079;
1.58818;-1.62236;-1.46372;-1.58885;1.49279;-0.0628544;
1.60493;-1.63432;-1.43659;-1.60589;1.49356;-0.0471175;
1.62124;-1.6459;-1.4106;-1.62213;1.49431;-0.0317894;
1.63712;-1.65709;-1.38576;-1.63756;1.49504;-0.01687;
1.65256;-1.66789;-1.36206;-1.65219;1.49575;-0.00235938;
1.66757;-1.6783;-1.33951;-1.66601;1.49644;0.0117425;
1.68214;-1.68833;-1.3181;-1.67903;1.49711;0.0254356;
1.69628;-1.69796;-1.29784;-1.69124;1.49776;0.03872;
1.70998;-1.70721;-1.27872;-1.70265;1.49839;0.0515956;
1.72325;-1.71606;-1.26075;-1.71325;1.499;0.0640625;
1.73608;-1.72453;-1.24392;-1.72305;1.49959;0.0761206;
1.74848;-1.73261;-1.22824;-1.73204;1.50016;0.08777;
1.76044;-1.7403;-1.2137;-1.74023;1.50071;0.0990106;
1.77197;-1.7476;-1.20031;-1.74761;1.50124;0.109843;
1.78306;-1.75452;-1.18806;-1.75419;1.50175;0.120266;
1.79372;-1.76104;-1.17696;-1.75996;1.50224;0.13028;
1.80394;-1.76718;-1.167;-1.76493;1.50271;0.139886;
1.81373;-1.77292;-1.15819;-1.76909;1.50316;0.149083;
1.82308;-1.77828;-1.15052;-1.77245;1.50359;0.157871;
1.919;-1.861;-0.915;-1.936;1.508;0.248;
1.91896;-1.85811;-0.93185;-1.92202;1.50805;0.248089;
1.91883;-1.85544;-0.9485;-1.90799;1.50819;0.248358;
1.91861;-1.853;-0.96495;-1.89389;1.50843;0.248804;
1.9183;-1.85077;-0.9812;-1.87974;1.50877;0.24943;
1.91791;-1.84877;-0.99725;-1.86553;1.5092;0.250234;
1.91742;-1.84698;-1.0131;-1.85126;1.50973;0.251217;
1.91686;-1.84542;-1.02875;-1.83694;1.51036;0.252379;
1.9162;-1.84408;-1.0442;-1.82256;1.51108;0.25372;
1.91546;-1.84296;-1.05945;-1.80812;1.5119;0.255239;
1.91463;-1.84206;-1.0745;-1.79363;1.51281;0.256937;
1.91371;-1.84139;-1.08935;-1.77907;1.51382;0.258814;
1.9127;-1.84093;-1.104;-1.76446;1.51493;0.26087;
1.91161;-1.8407;-1.11845;-1.74979;1.51613;0.263104;
1.91043;-1.84068;-1.1327;-1.73507;1.51743;0.265518;
